Time;LD-S;LD-W;PV-S;PV-W;CHP-S;CHP-W;BAT-S;BAT-W;EV
00:00:00;0.386;0.2996;0;0;-4.5;-9;0;0;3
00:15:00;0.3452;0.2704;0;0;-4.5;-9;0;0;3
00:30:00;0.3076;0.2432;0;0;-4.5;-9;0;0;3
00:45:00;0.2752;0.2196;0;0;-4.5;-9;0;0;3
01:00:00;0.2496;0.1996;0;0;-4.5;-9;0;0;3
01:15:00;0.232;0.1848;0;0;-4.5;-9;0;0;3
01:30:00;0.2212;0.1744;0;0;-4.5;-9;0;0;3
01:45:00;0.2144;0.1676;0;0;-4.5;-9;0;0;3
02:00:00;0.2096;0.1632;0;0;-4.5;-9;0;0;3
02:15:00;0.2052;0.1604;0;0;-4.5;-9;0;0;3
02:30:00;0.2012;0.1584;0;0;-4.5;-9;0;0;3
02:45:00;0.1968;0.1576;0;0;-4.5;-9;0;0;3
03:00:00;0.1932;0.1564;0;0;-4.5;-9;0;0;3
03:15:00;0.19;0.1552;0;0;-4.5;-9;0;0;3
03:30:00;0.1876;0.1544;0;0;-4.5;-9;0;0;3
03:45:00;0.186;0.1532;0;0;-4.5;-9;0;0;3
04:00:00;0.1864;0.1532;0;0;-4.5;-9;0;0;0
04:15:00;0.1884;0.1536;0;0;-4.5;-9;0;0;0
04:30:00;0.192;0.1552;0;0;-4.5;-9;0;0;0
04:45:00;0.1972;0.1572;0;0;-4.5;-9;0;0;0
05:00:00;0.2032;0.16;-40.8;0;-4.5;-9;0;0;0
05:15:00;0.2108;0.1636;-81.6;0;-4.5;-9;0;0;0
05:30:00;0.2224;0.1724;-122.4;0;-4.5;-9;0;0;0
05:45:00;0.242;0.1908;-163.2;0;-4.5;-9;0;0;0
06:00:00;0.2728;0.2232;-204;0;-4.5;-9;0;0;0
06:15:00;0.3168;0.272;-377.5;0;-4.5;-9;0;0;0
06:30:00;0.368;0.3312;-551;0;-4.5;-9;0;0;0
06:45:00;0.4188;0.392;-724.5;0;-4.5;-9;0;0;0
07:00:00;0.4628;0.446;-898;-40;-4.5;-9;0;0;0
07:15:00;0.494;0.4864;-1132.7;-60;-4.5;-9;0;0;0
07:30:00;0.5144;0.514;-1367.4;-80;-4.5;-9;0.11;0;0
07:45:00;0.528;0.5308;-1602.1;-100;-4.5;-9;0.1;0;0
08:00:00;0.5392;0.5392;-1836.8;-120;-4.5;-9;0.11;0;0
08:15:00;0.5512;0.5416;-2112.3;-200;-4.5;-9;0.49;0;0
08:30:00;0.5628;0.5392;-2387.8;-280;-4.5;-9;0.48;0;0
08:45:00;0.5728;0.5324;-2663.3;-360;-4.5;-9;1.13;0;0
09:00:00;0.5792;0.5228;-2938.8;-440;-4.5;-9;1.13;0;0
09:15:00;0.5812;0.5108;-3173.5;-630;-4.5;-9;0.81;0;0
09:30:00;0.5796;0.4984;-3408.2;-820;-4.5;-9;0.8;0;0
09:45:00;0.5752;0.486;-3642.9;-1010;-4.5;-9;1.78;0;0
10:00:00;0.5692;0.476;-3877.6;-1200;-4.5;-9;1.77;0;0
10:15:00;0.5632;0.4692;-4030.65;-1360;-4.5;-9;0.65;0;0
10:30:00;0.558;0.4648;-4183.7;-1520;-4.5;-9;0.65;0;0
10:45:00;0.554;0.4628;-4336.75;-1680;-4.5;-9;0;0;0
11:00:00;0.5528;0.4628;-4489.8;-1840;-4.5;-9;0;0;0
11:15:00;0.5544;0.4644;-4581.65;-1910;-4.5;-9;0;0;0
11:30:00;0.5604;0.468;-4673.5;-1980;-4.5;-9;0;0;0
11:45:00;0.5704;0.4748;-4765.35;-2050;-4.5;-9;0;0;0
12:00:00;0.586;0.486;-4857.2;-2120;-4.5;-9;0;0;0
12:15:00;0.606;0.5016;-4867.4;-2160;-4.5;-9;0;0;0
12:30:00;0.6268;0.5184;-4877.6;-2200;-4.5;-9;0;0;0
12:45:00;0.6428;0.532;-4887.8;-2240;-4.5;-9;0;0;0
13:00:00;0.6492;0.5392;-4898;-2280;-4.5;-9;0;0;0
13:15:00;0.642;0.5368;-4867.4;-2300;-4.5;-9;0;0;0
13:30:00;0.6244;0.5268;-4836.8;-2320;-4.5;-9;0;0;0
13:45:00;0.6008;0.512;-4806.2;-2340;-4.5;-9;0;0;0
14:00:00;0.576;0.496;-4775.6;-2360;-4.5;-9;0;0;0
14:15:00;0.5536;0.4808;-4693.95;-2220;-4.5;-9;0;0;0
14:30:00;0.5344;0.4672;-4612.3;-2080;-4.5;-9;0;0;0
14:45:00;0.5176;0.4548;-4530.65;-1940;-4.5;-9;0;0;0
15:00:00;0.5028;0.4428;-4449;-1800;-4.5;-9;0;0;0
15:15:00;0.4896;0.4316;-4255.1;-1630;-4.5;-9;0;0;0
15:30:00;0.4784;0.422;-4061.2;-1460;-4.5;-9;0;0;0
15:45:00;0.4696;0.414;-3867.3;-1290;-4.5;-9;0;0;0
16:00:00;0.4628;0.4096;-3673.4;-1120;-4.5;-9;-0.55;0;0
16:15:00;0.4584;0.4088;-3469.35;-940;-4.5;-9;-0.55;0;0
16:30:00;0.4568;0.4128;-3265.3;-760;-4.5;-9;-0.55;0;0
16:45:00;0.4584;0.4224;-3061.25;-580;-4.5;-9;-0.55;0;0
17:00:00;0.4628;0.4396;-2857.2;-400;-4.5;-9;-0.55;0;0
17:15:00;0.4704;0.464;-2591.9;-310;-4.5;-9;-0.55;0;0
17:30:00;0.4812;0.4948;-2326.6;-220;-4.5;-9;-0.55;0;0
17:45:00;0.4956;0.5304;-2061.3;-130;-4.5;-9;-0.55;0;0
18:00:00;0.5128;0.5692;-1796;-40;-4.5;-9;-0.55;0;0
18:15:00;0.5328;0.6096;-1540.9;0;-4.5;-9;-0.55;0;0
18:30:00;0.5556;0.6488;-1285.8;0;-4.5;-9;-0.9;0;0
